,cod,descr,per,anoinicio,unidade
147,157,Fundo de ações-carteira livre - Outras aplicações,"""M""",1993,"""u.m.c. (mil)"""
148,158,Fundo de investimento-capital estrangeiro - Aplicações em títulos do Tesouro Nacional,"""M""",1993,"""u.m.c. (mil)"""
149,159,Fundo de investimento-capital estrangeiro - Aplicações em títulos do Banco Central,"""M""",1993,"""u.m.c. (mil)"""
150,160,Fundo de investimento-capital estrangeiro - Aplicações em títulos estaduais e municipais,"""M""",1993,"""u.m.c. (mil)"""
151,161,Fundo de investimento-capital estrangeiro - Aplicações em índices de ações,"""M""",1993,"""u.m.c. (mil)"""
152,162,Fundo de investimento-capital estrangeiro - Aplicações em ações,"""M""",1993,"""u.m.c. (mil)"""
153,163,Fundo de investimento-capital estrangeiro - Aplicações em debêntures,"""M""",1993,"""u.m.c. (mil)"""
154,164,Fundo de investimento-capital estrangeiro - Aplicações em títulos privados,"""M""",1993,"""u.m.c. (mil)"""
155,165,Fundo de investimento-capital estrangeiro - Aplicações em quotas de fundos,"""M""",1993,"""u.m.c. (mil)"""
156,166,Fundo de investimento-capital estrangeiro - Outras aplicações,"""M""",1993,"""u.m.c. (mil)"""
157,167,Fundo de conversão-capital estrangeiro - Aplicações em títulos do Tesouro Nacional,"""M""",1993,"""u.m.c. (mil)"""
158,168,Fundo de conversão-capital estrangeiro - Aplicações em títulos do Banco Central,"""M""",1993,"""u.m.c. (mil)"""
159,169,Fundo de conversão-capital estrangeiro - Aplicações em títulos estaduais e municipais,"""M""",1993,"""u.m.c. (mil)"""
160,170,Fundo de conversão-capital estrangeiro - Aplicações em índices de ações,"""M""",1993,"""u.m.c. (mil)"""
161,171,Fundo de conversão-capital estrangeiro - Aplicações em ações,"""M""",1993,"""u.m.c. (mil)"""
162,172,Fundo de conversão-capital estrangeiro - Aplicações em debêntures,"""M""",1993,"""u.m.c. (mil)"""
163,173,Fundo de conversão-capital estrangeiro - Aplicações em títulos privados,"""M""",1993,"""u.m.c. (mil)"""
164,174,Fundo de conversão-capital estrangeiro - Aplicações em quotas de fundos,"""M""",1993,"""u.m.c. (mil)"""
165,175,Fundo de conversão-capital estrangeiro - Outras aplicações,"""M""",1993,"""u.m.c. (mil)"""
166,176,Fundo de renda fixa-capital estrangeiro - Aplicações em títulos federais,"""M""",1993,"""u.m.c. (mil)"""
167,177,Fundo de renda fixa-capital estrangeiro - Aplicações em títulos de renda fixa,"""M""",1993,"""u.m.c. (mil)"""
168,178,Fundo de renda fixa-capital estrangeiro - Aplicações em valores mobiliários,"""M""",1993,"""u.m.c. (mil)"""
169,179,Fundo de renda fixa-capital estrangeiro - Aplicações em quotas de fundos,"""M""",1993,"""u.m.c. (mil)"""
170,180,Fundo de renda fixa-capital estrangeiro - Aplicações em ações,"""M""",1993,"""u.m.c. (mil)"""
171,181,Depósitos especiais remunerados - Crédito rural,"""M""",1991,"""u.m.c. (mil)"""
172,182,Depósitos especiais remunerados - Depósito interfinanceiro rural,"""M""",1991,"""u.m.c. (mil)"""
173,183,Depósitos especiais remunerados - Recolhimento especial remunerado,"""M""",1991,"""u.m.c. (mil)"""
174,184,Depósitos especiais remunerados - Operações com lastro do SFH,"""M""",1991,"""u.m.c. (mil)"""
175,185,Depósitos especiais remunerados - Títulos federais,"""M""",1991,"""u.m.c. (mil)"""
176,186,Depósitos especiais remunerados - Títulos estaduais ou municipais,"""M""",1991,"""u.m.c. (mil)"""
