cod,descr
163,Fundo de investimento-capital estrangeiro - Aplicações em debêntures
164,Fundo de investimento-capital estrangeiro - Aplicações em títulos privados
165,Fundo de investimento-capital estrangeiro - Aplicações em quotas de fundos
166,Fundo de investimento-capital estrangeiro - Outras aplicações
167,Fundo de conversão-capital estrangeiro - Aplicações em títulos do Tesouro Nacional
168,Fundo de conversão-capital estrangeiro - Aplicações em títulos do Banco Central
169,Fundo de conversão-capital estrangeiro - Aplicações em títulos estaduais e municipais
170,Fundo de conversão-capital estrangeiro - Aplicações em índices de ações
171,Fundo de conversão-capital estrangeiro - Aplicações em ações
172,Fundo de conversão-capital estrangeiro - Aplicações em debêntures
173,Fundo de conversão-capital estrangeiro - Aplicações em títulos privados
174,Fundo de conversão-capital estrangeiro - Aplicações em quotas de fundos
175,Fundo de conversão-capital estrangeiro - Outras aplicações
176,Fundo de renda fixa-capital estrangeiro - Aplicações em títulos federais
177,Fundo de renda fixa-capital estrangeiro - Aplicações em títulos de renda fixa
178,Fundo de renda fixa-capital estrangeiro - Aplicações em valores mobiliários
179,Fundo de renda fixa-capital estrangeiro - Aplicações em quotas de fundos
180,Fundo de renda fixa-capital estrangeiro - Aplicações em ações
181,Depósitos especiais remunerados - Crédito rural
182,Depósitos especiais remunerados - Depósito interfinanceiro rural
183,Depósitos especiais remunerados - Recolhimento especial remunerado
184,Depósitos especiais remunerados - Operações com lastro do SFH
185,Depósitos especiais remunerados - Títulos federais
186,Depósitos especiais remunerados - Títulos estaduais ou municipais
187,Depósitos especiais remunerados - Circular 2369
188,Índice nacional de preços ao consumidor (INPC)
189,Índice geral de preços do mercado (IGP-M)
190,Índice geral de preços-disponibilidade interna (IGP-DI)
191,Índice de preços ao consumidor-Brasil (IPC-Br)
192,Índice nacional de custo da construção (INCC)
193,Índice de preços ao consumidor-São Paulo (IPC-Fipe)
194,Índice de custo de vida (ICV)
195,Depósitos de poupança a partir de 04.05.2012 - Rentabilidade no período
196,Depósitos de poupança a partir de 04.05.2012 - Rentabilidade no período (1º dia do mês)
204,Depósitos de poupança a partir de 04.05.2012 - Rentabilidade adicional no período
206,Cesta básica
207,Poupança SBPE - Exigibilidades
208,Poupança SBPE - Aplicações
209,Poupança rural - Exigibilidades
210,Poupança rural - Aplicações
212,Fundo de aplicações financeiras - Aplicações em títulos do Banco Central
213,Fundo de renda fixa-curto prazo - Patrimônio líquido
214,Fundo de renda fixa-curto prazo - Captação líquida
215,Fundo de renda fixa-curto prazo - Rentabilidade diária (%)
216,Fundo de renda fixa-curto prazo - Aplicações em depósitos obrigatórios
217,Fundo de renda fixa-curto prazo - Aplicações em operações compromissadas
218,Fundo de renda fixa-curto prazo - Aplicações em quotas FIEX
219,Fundo de renda fixa-curto prazo - Aplicações em títulos do Tesouro Nacional
220,Fundo de renda fixa-curto prazo - Aplicações em títulos do Banco Central
221,Fundo de renda fixa-curto prazo - Aplicações em títulos privados
222,Fundo de renda fixa-curto prazo - Aplicações em títulos estaduais e municipais
225,Índice de preços ao produtor amplo
226,Taxa de juros - Taxa Referencial (TR)
227,Taxa de juros - Taxa Referencial (TRD/TR) pro-rata
